ID,Solubility,SMILEScurated,SD,Group,Dataset,Composition,Error,Charge
A-3,-3.616127121,CCCCCCCCCCCCCCCCCC[N+](C)(C)C,0,G1,A,mono-constituent,None,Positive
A-4,-3.254767098,O=C1NC2=CC=CC3=CC=CC1=C23,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-5,-2.177077944,ClC1=CC=C(C=O)C=C1,0,G1,A,mono-constituent,None,Uncharged
A-8,-3.924409095,CC(C1=CC=CC=C1)C1=CC(C(C)C2=CC=CC=C2)=C(O)C(=C1)C([O-])=O,0,G1,A,mono-constituent,None,Negative
A-9,-4.662064583,C(C1CO1)N(CC1CO1)C1=CC=C(CC2=CC=C(C=C2)N(CC2CO2)CC2CO2)C=C1,0,G1,A,mono-constituent,None,Uncharged
A-10,-3.123150304,CC1=CC=CC(C=C)=C1,0,G1,A,None,None,Uncharged
A-11,-3.286116314,CCC1CCC(CCC([O-])=O)C1,0,G1,A,UVCB,None,Negative
A-12,-2.664548539,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,0,G1,A,mono-constituent,None,Uncharged
A-14,-4.396652185,FC1=CC=C(C=C1)C(=O)C1=CC=C(F)C=C1,0.431512648,G3,A,mono-constituent,None,Uncharged
A-15,-4.595502564,O=C(OCCCOCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,0.118551282,G3,A,None,None,Uncharged
A-17,-2.28276885,CN(C)C1=CC=C(C=O)C=C1,0,G1,A,mono-constituent,None,Uncharged
A-18,-2.394649969,CC(=O)OC(C)(C)CC1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-19,-1.980309796,CC1=CC=C(O)C(C)=C1,0.155859056,G5,A,None,Multi-constituent Substances,Uncharged
A-21,-3.43023888,CC(C)(C)C1=CC=C(OCC2CO2)C=C1,0,G1,A,mono-constituent,None,Uncharged
A-22,-3.544059701,COCCCCC(=O)C1=CC=C(C=C1)C(F)(F)F,0,G1,A,mono-constituent,None,Uncharged
A-23,-2.320601166,CC(C)=CCCC(C)=CCO,0.071632869,G5,A,mono-constituent,None,Uncharged
A-24,-2.466030786,CC(OC1=CC=C(Cl)C=C1C)C([O-])=O,0.060620877,G5,A,mono-constituent,None,Negative
A-25,-2.958195047,CCCCC(CC)COP([S-])(=S)OCC(C)C,0,G1,A,UVCB,None,Negative
A-26,-3.411513885,FC(F)(F)C1=CC=CC(Cl)=C1,0,G1,A,mono-constituent,None,Uncharged
A-27,-3.513468741,CCC(C)(CCC(C)C)C(=O)OCC1CO1,0,G1,A,None,None,Uncharged
A-28,-4.4543817,CC(C)CCCCCOC(=O)CCS,0,G1,A,UVCB,Non Valid pH,Uncharged
A-29,-4.287342935,CC(C)=C1CCC(C)=CC1,0.131230591,G5,A,mono-constituent,None,Uncharged
A-30,-3.473139052,O[Si]([O-])=O,0,G1,A,UVCB,Non Valid pH,Negative
A-31,-2.363208098,CC(=C)C([O-])=O,0,G1,A,None,None,Negative
A-32,-3.45410264,CC[NH2+]CC(O)C1=CC=CC(O)=C1,0,G1,A,mono-constituent,None,Positive
A-33,-2.990876868,CCC(C)OP([S-])(=S)OC(C)CC(C)C,0,G1,A,UVCB,None,Negative
A-34,-3.512942193,ClCC1=CC=C(Cl)C=C1Cl,0,G1,A,mono-constituent,None,Uncharged
A-36,-4.292313455,CC1(C)C2CC1C(=C)CC2,1.247787366,G4,A,mono-constituent,None,Uncharged
A-38,-4.809134189,CCCCCCCCC=CCCCCCCCC([O-])=O,0.286266072,G5,A,UVCB,Cosolvent Buffer,Negative
A-39,-4.63414462,CCCCCCCCCCCCOC(=O)C(C)O,0.106537413,G3,A,mono-constituent,None,Uncharged
A-45,-0.763033718,NO,0.861298,G4,A,mono-constituent,Unstable,Uncharged
A-47,-2.563625713,C=CC(=O)OCCOC1=CC=CC=C1,0.227965978,G3,A,mono-constituent,None,Uncharged
A-48,-2.641819273,OC1=CC=C(C2=CC=CC=C12)S([O-])(=O)=O,0,G1,A,mono-constituent,Cosolvent Buffer,Negative
A-49,-3.552826145,[O-]C(=O)CCCCCCCCC=C,0.115494384,G5,A,mono-constituent,Non Valid pH,Negative
