,ID,Solubility,SMILEScurated,SD,Group,Dataset,Composition,Error,Charge,IONIZABLE,SMILES_standard
0,A-5,-2.177077944,ClC1=CC=C(C=O)C=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,O=Cc1ccc(Cl)cc1
1,A-10,-3.123150304,CC1=CC=CC(C=C)=C1,0.0,G1,A,,,Uncharged,Non-ionizable,C=Cc1cccc(C)c1
2,A-12,-2.664548539,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO
3,A-14,-4.396652185,FC1=CC=C(C=C1)C(=O)C1=CC=C(F)C=C1,0.431512648,G3,A,mono-constituent,,Uncharged,Non-ionizable,O=C(c1ccc(F)cc1)c1ccc(F)cc1
4,A-15,-4.595502564,O=C(OCCCOCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,0.118551282,G3,A,,,Uncharged,Non-ionizable,O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1
5,A-18,-2.394649969,CC(=O)OC(C)(C)CC1=CC=CC=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC(=O)OC(C)(C)Cc1ccccc1
6,A-21,-3.43023888,CC(C)(C)C1=CC=C(OCC2CO2)C=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,CC(C)(C)c1ccc(OCC2CO2)cc1
7,A-22,-3.544059701,COCCCCC(=O)C1=CC=C(C=C1)C(F)(F)F,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,COCCCCC(=O)c1ccc(C(F)(F)F)cc1
8,A-23,-2.320601166,CC(C)=CCCC(C)=CCO,0.071632869,G5,A,mono-constituent,,Uncharged,Non-ionizable,CC(C)=CCCC(C)=CCO
9,A-26,-3.411513885,FC(F)(F)C1=CC=CC(Cl)=C1,0.0,G1,A,mono-constituent,,Uncharged,Non-ionizable,FC(F)(F)c1cccc(Cl)c1
