"","SMILES_Solute","Temperature_K","Solvent","SMILES_Solvent","Solubility(mole_fraction)","Solubility(mol/L)","LogS(mol/L)","Compound_Name","CAS","PubChem_CID","FDA_Approved","Source"
"1","C(=N/Nc1ccccc1)\c1ccc[nH]1",298.15,"water","O",5.86e-07,3.24325085974567e-05,-4.48901945811403,"Pyrrole-2-carboxaldehyde phenylhydrazone",NA,NA,"No","10.1007/s10953-010-9568-z"
"2","C(=N/Nc1ccccc1)\c1ccco1",298.15,"water","O",5.73e-07,3.17130156736396e-05,-4.49876245781057,"Furan-2-carboxaldehyde phenylhydrazone","2216-75-3",5375013,"No","10.1007/s10953-010-9568-z"
"3","C(=N/Nc1ccccc1)\c1cccs1",298.15,"water","O",5.19e-07,2.87243529595628e-05,-4.54174974538141,"Thiophene-2-carboxaldehyde phenylhydrazone","39677-96-8",5716065,"No","10.1007/s10953-010-9568-z"
"4","O=[N+]([O-])c1ccc(N/N=C/c2ccc[nH]2)c([N+](=O)[O-])c1",298.15,"water","O",1.6e-08,8.85528740230075e-07,-6.05279733902413,"Pyrrole-2-carboxaldehyde 2,4-dinitrophenylhydrazone",NA,NA,"No","10.1007/s10953-010-9568-z"
"5","O=[N+]([O-])c1ccc(N/N=C/c2ccc[nH]2)cc1",298.15,"water","O",1.73e-07,9.57478100697833e-06,-5.01887115036702,"Pyrrole-2-carboxaldehyde 4-nitrophenylhydrazone",NA,NA,"No","10.1007/s10953-010-9568-z"
"6","O=[N+]([O-])c1ccc(N/N=C/c2ccco2)c([N+](=O)[O-])c1",298.15,"water","O",1.4e-08,7.7483764615164e-07,-6.1107892868704,"Furan-2-carboxaldehyde 2,4-dinitrophenylhydrazone","16416-22-1",5463001,"No","10.1007/s10953-010-9568-z"
"7","O=[N+]([O-])c1ccc(N/N=C/c2ccco2)cc1",298.15,"water","O",1.72e-07,9.51943544250526e-06,-5.02138880702256,"Furan-2-carboxaldehyde 4-nitrophenylhydrazone",NA,6049384,"No","10.1007/s10953-010-9568-z"
"8","O=[N+]([O-])c1ccc(N/N=C/c2cccs2)c([N+](=O)[O-])c1",298.15,"water","O",7e-09,3.87418820363888e-07,-6.41181928557445,"Thiophene-2-carboxaldehyde 2,4-dinitrophenylhydrazone","24383-66-2",5355511,"No","10.1007/s10953-010-9568-z"
"9","O=[N+]([O-])c1ccc(N/N=C/c2cccs2)cc1",298.15,"water","O",1.68e-07,9.2980531857199e-06,-5.03160797394142,"Thiophene-2-carboxaldehyde 4-nitrophenylhydrazone",NA,NA,"No","10.1007/s10953-010-9568-z"
"10","CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O",298.15,"water","O",3e-06,0.00016603713424795,-3.7797947710237,"Lornoxicam","70374-39-9",54690031,"Yes","10.1007/s10953-012-9876-6"
