,Unnamed: 0.1,Unnamed: 0,SMILES_Solute,Temperature_K,Solvent,SMILES_Solvent,Solubility(mole_fraction),Solubility(mol/L),LogS(mol/L),Compound_Name,CAS,PubChem_CID,FDA_Approved,Source,IONIZABLE,SMILES_standard
0,0,12,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,298.2,water,O,9.34e-07,5.16380400773917e-05,-4.28703024974657,Isoimperatorin,482-45-1,68081.0,No,10.1007/s10953-012-9917-1,Non-ionizable,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
1,1,22,NC(=O)c1c(F)c(F)c(F)c(F)c1F,297.5,water,O,0.00026,0.0143827155737544,-1.84215910787849,"2,3,4,5,6-Pentafluorobenzamide",652-31-3,69547.0,No,10.1007/s10953-020-00980-6,Non-ionizable,NC(=O)c1c(F)c(F)c(F)c(F)c1F
2,2,23,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,302.2,water,O,0.00013,0.0071757351158712,-2.14413360115665,5-iodo-2'-deoxyuridine,54-42-2,5905.0,Yes,10.1007/s10953-020-00980-6,Non-ionizable,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
3,3,29,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,298.2,water,O,5.6e-06,0.0003096085371758,-3.50918707254579,Ivermectin,70288-86-7,6321424.0,No,10.1007/s10953-024-01416-1,Non-ionizable,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
4,4,53,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,298.15,water,O,4.2e-05,0.0023246105395544,-2.63364979747957,bis-2-hydroxyethyl terephthalate (BHET),959-26-2,13739.0,No,10.1016/j.cjche.2021.03.024,Non-ionizable,O=C(OCCO)c1ccc(C(=O)OCCO)cc1
5,5,63,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,298.15,water,O,0.014486,0.813520224327645,-0.0896316459173894,Myo-inositol,87-89-8,892.0,No,10.1016/j.fluid.2013.11.045,Non-ionizable,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
6,6,78,Cn1c(=O)c2c(ncn2C)n(C)c1=O,298.0,water,O,0.00193,0.106919405505415,-0.970943464678271,Caffeine,58-08-2,2519.0,Yes,10.1016/j.fluid.2017.09.021,Non-ionizable,Cn1c(=O)c2c(ncn2C)n(C)c1=O
7,7,83,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,298.15,water,O,2.85e-06,0.0001577352538751,-3.80207123087922,ß-lapachone,4707-32-8,3885.0,No,10.1016/j.fluid.2018.05.005,Non-ionizable,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O
8,8,86,O=c1ccc2ccccc2o1,298.15,water,O,0.000235,0.0130092603402099,-1.88574739515995,Coumarin,91-64-5,323.0,Yes,10.1016/j.fluid.2020.112788,Non-ionizable,O=c1ccc2ccccc2o1
9,9,89,C1CCCC1,296.2,water,O,4.17e-05,0.0023075657426708,-2.63684591705288,Cyclopentane,287-92-3,9253.0,No,10.1016/j.jct.2008.01.019,Non-ionizable,C1CCCC1
