smiles,logS_literature,logS_wiki_ps0,logS_AqSolDB,logS_BigSolDB,sd
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09,-6.08,-6.0864,,0.005064911976859276
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.8,-8.75,-8.7,,0.05000000000000071
OCCc1ccccc1,-0.74,,-0.785923914,-0.553201651347857,0.1232627819404408
Cc1ccc2cc3ccccc3cc2c1,-6.69,-6.69,-6.9555,,0.1532864964698453
CCCCCC=O,-1.3,,-5.412221914,-1.496217615929,2.319624972752177
c1ccc2c(c1)[nH]c1ccccc12,-5.27,-5.27,-5.21042762,,0.034394129629266475
c1ccc2c(c1)ccc1c3ccccc3ccc21,-7.58,-8.02,-8.0575,,0.2655222840616831
OCc1c(Cl)cccc1Cl,-2.1,-2.1,-2.1019,,0.0010969655114602963
COc1ccccc1OCC(O)COC(N)=O,,-1.53,-1.5251,-1.39031066573449,0.07927303528447405
CC(C)(C)CO,-0.4,-0.42,-0.4012,,0.011216654284292308
CC(C)Br,-1.59,,-1.598518701,-1.34276615399097,0.14526212409569017
O=C(c1ccccc1)c1ccccc1,-3.12,-3.12,-3.882202908,-0.206746726733562,1.6239092224919318
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.66,-5.65,-5.65,,0.005773502691896135
O=C1C=CC(=O)C=C1,-0.56,-0.9,-0.89,,0.19347695814575266
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-8.49,-8.44,-8.4989,,0.03175011811001715
Ic1ccc(I)cc1,-5.37,-5.37,-5.3723,,0.0013279056191361212
CCc1ccc2cc3ccccc3cc2c1,-6.89,-6.86,-6.8863,,0.016357363275703272
Clc1ccc(-c2ccccc2)cc1Cl,-7.44,-6.37,-6.3899,,0.6121010292427225
OC(c1ccccc1)C(O)c1ccccc1,-1.93,-1.85,-1.933,,0.0470779495447001
Clc1ccc(-c2ccccc2)cc1,-5.2,-5.18,-5.2,,0.011547005383792781
c1ccc2c(c1)sc1ccccc12,-5.21,-5.1,-5.0981,,0.06406405648515677
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,-7.22,-6.8526,,0.22128771618265067
ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,-6.05,-6.27,-6.2893,,0.1329391966276312
Clc1ccccc1-c1ccccc1Cl,-5.27,-5.25,-5.0813,,0.10365598551619361
N#Cc1ccccc1C#N,-2.38,-2.51,-2.38,,0.07505553499465129
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-6.25,-6.22,-6.27,,0.025166114784235766
Cn1cnc2c1c(=O)[nH]c(=O)n2C,,-2.58,-2.7372,-2.58247696800599,0.09005293998524999
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-3.9,-5.71,-5.5072,,0.991658516493119
CC1CCC(C(C)C)C(O)C1,-2.54,-2.57,-2.488009121,,0.04148404460027414
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,-8.74,-8.61,-8.6679,,0.06512912814811346
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-7.11,-7.08,-6.183335848,,0.5265632364815835
NC(N)=S,0.32,0.32,0.188516266,0.298521844357447,0.062981342622593
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,-5.98,-6.0077,,0.016696207154121002
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,-1.38,-1.35258526,-1.45775573821056,0.044673869236482616
Clc1ccc(-c2ccccc2Cl)cc1,-5.28,-5.26,-5.2803,,0.011634574909868467
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,-3.08,-3.07,,-3.17819107399522,0.059786837325861326
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.74,-5.73,-6.05,,0.18193405398660223
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,-3.18,-3.22,,-3.2159800691841,0.02202545959511866
Clc1ccc(-c2ccccc2)c(Cl)c1,-5.25,-5.23,-5.2878,,0.02935325081372278
Cc1ccc(S(N)(=O)=O)cc1,-1.74,-1.73,-1.742195335,,0.006500585762381312
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.88,-0.95,-0.91,-0.970943464678271,0.04064423736050983
Clc1ccc(Br)cc1,-3.63,-3.63,-3.6298,,0.00011547005383791244
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,-5.38,-5.37,-5.3835,,0.007005949852327715
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-4.93,-6.6,-4.933,,0.9633100919918431
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,-5.64,-5.63,-5.64,,0.005773502691896135
NC(N)=O,0.95,0.96,0.957840099,1.2715472712448,0.15785876390715692
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.08,-4.44,-4.08,,0.20784609690826547
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,-7.92,-7.87,-7.9663,,0.04816184520274681
Cc1cccc2c(C)cccc12,-4.69,-4.68,-4.74,,0.032145502536643326
Clc1cc(Cl)cc(Cl)c1,-4.48,-4.44,-4.6,,0.08326663997864489
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,-6.97,-7.88,-7.91,,0.5342596122984906
Cc1c[nH]c2ccccc12,-2.42,-2.42,-2.4206,,0.0003464101615137373
