id,Compound,smiles,CAS_RN,logS,Ref_logS,mp,Ref_mp,logPN,Ref_logP,GSE,diff_logS
SolCbio3-1,Octacholodibenzo-p-dioxin,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,3268-87-9,-12.79,10.1016/S0045-6535(02)00118-20.10.1016/S0045-6535(02)00118-2010.1016/S0045-6535(02)00118-26/S0045-6535(02)0010.1016/S0045-6535(02)00118-210.1016/S0045-6535(02)00118-28-2,322,10.1016/S0045-6535(02)00118-20.10.1016/S0045-6535(02)00118-2010.1016/S0045-6535(02)00118-26/S0045-6535(02)0010.1016/S0045-6535(02)00118-210.1016/S0045-6535(02)00118-28-2,8.2,PubChem,-10.67,2.12
SolCbio3-2,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1746-01-6,-10.22,10.1016/S0045-6535(02)00118-20.10.1016/S0045-6535(02)00118-2010.1016/S0045-6535(02)00118-26/S0045-6535(02)0010.1016/S0045-6535(02)00118-210.1016/S0045-6535(02)00118-28-2,305,10.1016/S0045-6535(02)00118-20.10.1016/S0045-6535(02)00118-2010.1016/S0045-6535(02)00118-26/S0045-6535(02)0010.1016/S0045-6535(02)00118-210.1016/S0045-6535(02)00118-28-2,6.8,Kenneth,-9.1,1.12
SolCbio3-3,"2,2',3,4,4',5,5'-Heptachlorodiphenyl ether",Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,83992-69-2,-9.5,10.1016/S0045-6535(02)00118-20.10.1016/S0045-6535(02)00118-2010.1016/S0045-6535(02)00118-26/S0045-6535(02)0010.1016/S0045-6535(02)00118-210.1016/S0045-6535(02)00118-28-2,89,10.1016/S0045-6535(02)00118-2,7.46,Kenneth,-7.6,1.9
SolCbio3-4,"1,2,3,4,7-Pentachlorodibenzo-p-dioxin",Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,39227-61-7,-9.48,10.1016/S0045-6535(02)00118-2,195,10.1016/S0045-6535(02)00118-2,7.4,Kenneth,-8.6,0.88
SolCbio3-5,"2,3,3',4,4',5,6-Heptachlorodiphenyl ether",Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,83992-70-5,-9.46,10.1016/S0045-6535(02)00118-2,169,10.1016/S0045-6535(02)00118-2,7.31,Kenneth,-8.25,1.21
SolCbio3-6,Coronene,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,191-07-1,-9.38,10.1016/S0045-6535(02)00118-2,438,10.1016/S0045-6535(02)00118-2,7.64,Kenneth,-11.27,1.89
SolCbio3-7,"2,3,4,7,8-Pentachlorodibenzofuran",Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl,57117-31-4,-9.16,10.1016/S0045-6535(02)00118-2,169,10.1016/S0045-6535(02)00118-2,6.92,Kenneth,-7.86,1.3
SolCbio3-8,"2,2',3,3',4,4',5-Heptachlorodiphenyl ether",Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,71585-40-5,-9.12,10.1016/S0045-6535(02)00118-2,104,10.1016/S0045-6535(02)00118-2,7.28,Kenneth,-7.57,1.55
SolCbio3-9,"2,2',3,3',4',5,6-Heptachlorodiphenyl ether",Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1Cl,83992-71-6,-9.09,10.1016/S0045-6535(02)00118-2,81,10.1016/S0045-6535(02)00118-2,7.14,Kenneth,-7.2,1.89
SolCbio3-10,"2,2',3,4',5,5',6-Heptachlorodiphenyl ether",Clc1cc(Cl)c(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,109828-23-1,-9.05,10.1016/S0045-6535(02)00118-2,118,10.1016/S0045-6535(02)00118-2,7.13,Kenneth,-7.56,1.49
SolCbio3-11,"Benzo(g,h,i)perylene",c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,191-24-2,-9.02,10.1016/S0045-6535(02)00118-2,278,10.1016/S0045-6535(02)00118-2,6.63,Kenneth,-8.66,0.36
SolCbio3-12,"2,3,4,4',5,6-Hexachlorodiphenyl ether",Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,63646-56-0,-8.94,10.1016/S0045-6535(02)00118-2,146,10.1016/S0045-6535(02)00118-2,6.95,Kenneth,-7.66,1.28
SolCbio3-13,"2,3,7,8-Tetrachlorodibenzofuran",Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,51207-31-9,-8.86,10.1016/S0045-6535(02)00118-2,227,10.1016/S0045-6535(02)00118-2,6.53,Kenneth,-8.05,0.81
SolCbio3-14,Perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,198-55-0,-8.8,10.1016/S0045-6535(02)00118-2,278,10.1016/S0045-6535(02)00118-2,6.25,Kenneth,-8.28,0.52
SolCbio3-15,"2,3,3',4,4',5-Hexachlorodiphenyl ether",Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,109828-22-0,-8.78,10.1016/S0045-6535(02)00118-2,135,10.1016/S0045-6535(02)00118-2,7.07,Kenneth,-7.67,1.11
SolCbio3-16,"1,2,3,4-Tetrachlorodibenzo-p-dioxin",Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,30746-58-8,-8.77,10.1016/S0045-6535(02)00118-2,185,10.1016/S0045-6535(02)00118-2,6.6,Kenneth,-7.7,1.07
SolCbio3-17,"Dibenzo(a,h)anthracene",c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,53-70-3,-8.74,10.1016/S0045-6535(02)00118-2,266,10.1016/S0045-6535(02)00118-2,6.75,Kenneth,-8.66,0.08
SolCbio3-18,"2,3',4,4',5,5'-Hexachlorodiphenyl ether",Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,131138-20-0,-8.72,10.1016/S0045-6535(02)00118-2,84,10.1016/S0045-6535(02)00118-2,7.11,Kenneth,-7.2,1.52
SolCbio3-19,"3,3',4,4'-Tetrachlorobiphenyl",Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,32598-13-3,-8.68,10.1016/S0045-6535(02)00118-2,180,10.1016/S0045-6535(02)00118-2,6.63,Kenneth,-7.68,1
SolCbio3-20,Etofenprox,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,80844-07-1,-8.6,10.1016/S0045-6535(02)00118-2,37,10.1016/S0045-6535(02)00118-2,7.05,Kenneth,-6.67,1.93
